0	9	6.804
0	67	10.852
1	13	8.242
1	84	10.642
2	26	14.236
2	105	8.162
3	64	3.722
3	133	9.978
4	51	4.864
4	56	5.162
4	96	4.672
5	67	15.666
5	90	10.056
6	8	8.738
6	107	1.87
7	71	5.002
7	107	8.184
8	6	8.738
8	114	9.116
9	0	6.804
9	73	3.486
11	46	7.486
12	48	3.8
12	66	6.912
13	1	8.242
13	41	5.034
14	21	12.318
14	131	8.474
15	29	8.802
15	86	1.578
15	125	5.296
10	33	9.926
10	36	11.618
16	93	12.26
17	94	8.868
17	129	9.488
18	77	10.588
18	117	6.61
19	75	4.014
19	99	4.672
20	82	3.514
21	92	4.284
21	14	12.318
22	23	1.67
22	134	4.08
23	22	1.67
23	24	4.986
24	23	4.986
24	25	8.88
25	24	8.88
25	105	6.536
26	27	5.266
26	2	14.236
27	26	5.266
27	81	3.988
29	15	8.802
29	30	5.316
30	29	5.316
30	31	6.832
31	30	6.832
31	33	11.528
32	88	6.512
32	115	7.922
33	31	11.528
33	10	9.926
35	110	4.172
35	122	13.838
36	10	11.618
36	80	5.884
37	38	6.772
37	80	5.314
38	37	6.772
38	39	6.37
39	38	6.37
39	40	9.344
40	39	9.344
40	42	9.032
41	13	5.034
41	74	4.832
42	40	9.032
42	72	2.976
43	72	9.2
43	134	6.698
28	103	4.788
28	126	11.806
34	57	8.684
34	113	15.108
44	135	3.658
44	113	1.55
45	106	9.602
45	135	10.666
46	11	7.486
46	61	8.232
47	11	7.486
47	61	8.002
48	12	3.8
48	109	4.736
50	54	6.48
50	62	3.706
49	95	8.144
49	123	10.754
51	4	4.864
51	96	9.112
52	54	10.598
52	62	10.62
53	113	9.422
53	121	8.71
55	83	0.544
55	124	12.558
54	52	10.598
54	50	6.48
56	4	5.162
56	98	3.266
57	34	8.684
58	104	12.298
58	106	2.368
59	84	13.124
59	131	11.588
60	116	5.444
61	46	8.232
61	97	2.468
62	50	3.706
62	52	10.62
63	89	7.62
63	112	10.594
64	3	3.722
64	88	10.606
65	108	5.548
66	12	6.912
66	82	5.112
67	0	10.852
67	5	15.666
68	113	7.678
68	130	3.288
72	42	2.976
72	43	9.2
70	69	11.8
70	125	10.374
71	7	5.002
71	90	3.076
69	70	11.8
69	89	12.276
73	9	3.486
73	102	5.048
74	41	4.832
74	72	4.362
75	19	4.014
75	78	6.46
76	86	6.26
77	18	10.588
77	118	11.078
78	75	6.46
78	127	8.018
80	36	5.884
80	37	5.314
81	27	3.988
82	20	3.514
82	66	5.112
83	55	0.544
83	93	8.524
84	59	13.124
84	1	10.642
86	15	1.578
86	76	6.26
86	132	7.7
85	76	9.522
87	88	2.284
87	115	4.072
88	32	6.512
88	64	10.606
89	63	7.62
89	69	12.276
90	5	10.056
90	71	3.076
91	110	5.186
91	112	12.044
94	17	8.868
94	101	8.79
92	21	4.284
92	113	11.342
93	16	12.26
93	83	8.524
95	49	8.144
95	99	12.284
97	61	2.468
96	4	4.672
96	117	10.896
98	56	3.266
103	28	4.788
103	128	12.856
101	94	8.79
102	73	5.048
99	19	4.672
99	95	12.284
100	93	5.522
105	2	8.162
105	25	6.536
104	120	16.53
104	58	12.298
106	58	2.368
106	45	9.602
107	6	1.87
107	7	8.184
108	65	5.548
108	111	5.268
109	48	4.736
109	109	0
110	35	4.172
110	91	5.186
111	108	5.268
111	52	12.59
112	63	10.594
112	91	12.044
113	34	15.108
113	44	1.55
113	53	9.422
113	68	7.678
113	92	11.342
114	8	9.116
116	60	5.444
117	18	6.61
117	96	10.896
118	77	11.078
119	57	7.106
119	113	5.506
120	18	13.136
120	77	7.314
121	53	8.71
121	115	2.292
122	35	13.838
122	124	14.618
115	32	7.922
115	121	2.292
123	49	10.754
123	133	4.944
124	55	12.558
124	122	14.618
125	70	10.374
125	15	5.296
126	28	11.806
127	78	8.018
128	103	12.856
129	17	9.488
130	68	3.288
131	14	8.474
131	59	11.588
132	86	7.7
133	3	9.978
133	123	4.944
134	43	6.698
134	22	4.08
135	45	10.666
135	44	3.658

